600076 康欣新材 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	10.51	10.55	10.29	10.49	14518311	150929776.00
2017/03/28	10.49	10.93	10.38	10.73	29432609	315981952.00
2017/03/29	10.73	10.91	10.61	10.67	25266786	271971424.00
2017/03/30	10.65	10.67	10.21	10.37	24162360	251521872.00
2017/03/31	10.35	10.38	10.15	10.29	15342303	157388544.00
2017/04/05	10.20	10.57	10.20	10.52	17875572	186211904.00
2017/04/06	10.52	10.56	10.25	10.33	16182483	168228928.00
2017/04/07	10.30	10.39	9.94	9.97	27007063	273986752.00
2017/04/10	9.91	9.91	9.70	9.84	23282935	227816816.00
2017/04/11	9.84	9.94	9.40	9.85	29195695	282947392.00
2017/04/12	9.78	9.92	9.63	9.69	14810486	144881504.00
2017/04/13	9.63	9.70	9.46	9.53	15967873	152857184.00
2017/04/14	9.54	9.64	9.46	9.57	10334006	98587616.00
2017/04/17	9.48	9.54	9.35	9.43	11606494	109586976.00
2017/04/18	9.44	9.55	9.31	9.32	10458324	98451672.00
2017/04/19	9.31	9.37	9.00	9.32	14096524	129638832.00
2017/04/20	9.32	9.37	9.12	9.23	9949483	91921680.00
2017/04/21	9.23	9.33	9.03	9.06	10864814	99368752.00
2017/04/24	9.05	9.16	8.92	9.07	13367402	121050552.00
2017/04/25	9.11	9.25	9.08	9.24	11038046	101230632.00
2017/04/26	9.25	9.28	9.18	9.21	6725532	62086816.00
2017/04/27	9.25	9.53	9.05	9.48	16435599	153018144.00
2017/04/28	9.30	9.44	9.27	9.38	16100757	150191776.00
2017/05/02	9.31	9.47	9.31	9.35	11105793	104286760.00
2017/05/03	9.32	9.40	9.17	9.22	8614991	80028056.00
2017/05/04	9.20	9.22	9.07	9.09	9253687	84520136.00
2017/05/05	9.05	9.13	9.01	9.03	6979421	63191060.00
2017/05/08	9.03	9.04	8.70	8.78	15273107	134881808.00
2017/05/09	8.70	9.03	8.70	9.02	9413383	83811560.00
2017/05/10	8.97	9.05	8.75	8.75	9178943	81655464.00
2017/05/11	8.75	8.82	8.55	8.73	13368142	116113072.00
2017/05/12	8.71	8.76	8.56	8.61	9246161	79921136.00
2017/05/15	8.61	8.72	8.39	8.43	10708361	91471368.00
2017/05/16	8.42	8.77	8.25	8.74	15744623	135115600.00
2017/05/17	8.70	8.93	8.68	8.88	14469626	127400976.00
2017/05/18	8.82	8.85	8.71	8.74	7665545	67354736.00
2017/05/19	8.75	8.82	8.58	8.62	5426123	46964792.00
2017/05/22	8.61	8.64	8.31	8.34	8084511	68428360.00
2017/05/23	8.33	8.60	8.25	8.58	9861684	82700264.00
2017/05/24	8.40	8.54	8.22	8.46	10538571	88272672.00
2017/05/25	8.48	8.60	8.27	8.47	8938681	75119848.00
2017/05/26	8.40	8.53	8.40	8.49	5563067	47214800.00
2017/05/31	8.53	8.60	8.38	8.38	8324132	70509848.00
2017/06/01	8.35	8.36	7.81	7.83	16655748	134256400.00
