600077 XD宋都股 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	5.20	5.21	5.08	5.09	8111719	41658520.00
2017/03/28	5.10	5.10	5.04	5.07	7378151	37370344.00
2017/03/29	5.07	5.09	5.03	5.04	7776894	39318820.00
2017/03/30	5.05	5.06	4.86	4.90	10008475	49409904.00
2017/03/31	4.91	4.93	4.87	4.91	6298935	30907610.00
2017/04/05	4.95	5.08	4.94	5.07	8942450	44865968.00
2017/04/06	5.07	5.10	5.02	5.06	7265003	36787296.00
2017/04/07	5.06	5.08	5.02	5.06	6155894	31112362.00
2017/04/10	5.05	5.14	5.02	5.10	9615618	48866896.00
2017/04/11	5.10	5.12	4.97	5.10	12808627	64590992.00
2017/04/12	5.09	5.10	5.01	5.05	14070567	71104984.00
2017/04/13	5.06	5.19	5.02	5.14	19442894	99106520.00
2017/04/14	5.10	5.13	5.04	5.05	9148338	46518872.00
2017/04/17	5.03	5.06	4.94	4.98	8665845	43297052.00
2017/04/18	4.98	5.01	4.86	4.89	11543086	56912844.00
2017/04/19	4.89	4.89	4.74	4.77	8136907	39063856.00
2017/04/20	4.78	4.81	4.63	4.74	9854836	46692976.00
2017/04/21	4.77	4.82	4.71	4.73	7089048	33825420.00
2017/04/24	4.72	4.81	4.62	4.70	10100840	47771648.00
2017/04/25	4.71	4.74	4.55	4.60	7072497	32919124.00
2017/04/26	4.61	4.64	4.40	4.42	14045880	62820620.00
2017/04/27	4.42	4.47	4.29	4.47	10214950	44588424.00
2017/04/28	4.43	4.47	4.40	4.45	5597882	24857704.00
2017/05/02	4.45	4.53	4.39	4.41	8444605	37558132.00
2017/05/03	4.41	4.45	4.39	4.43	6528569	28843476.00
2017/05/04	4.44	4.47	4.39	4.44	4765373	21162864.00
2017/05/05	4.44	4.44	4.33	4.34	6065223	26507156.00
2017/05/08	4.34	4.36	4.28	4.30	5183330	22407016.00
2017/05/09	4.30	4.30	4.17	4.27	8022699	34016192.00
2017/05/10	4.27	4.30	4.13	4.14	5713707	24129570.00
2017/05/11	4.14	4.14	3.91	4.00	12590171	50297084.00
2017/05/12	3.98	4.00	3.88	3.98	12845125	50505912.00
2017/05/15	3.97	4.04	3.94	4.01	7109847	28355860.00
2017/05/16	3.99	4.10	3.94	4.09	9514144	38281516.00
2017/05/17	4.09	4.19	4.07	4.12	8739638	36154016.00
2017/05/18	4.09	4.16	4.06	4.09	4025503	16558289.00
2017/05/19	4.07	4.11	4.04	4.06	4918109	19992276.00
2017/05/22	4.07	4.08	3.88	3.90	9759858	38616640.00
2017/05/23	3.91	3.93	3.77	3.79	7482931	28788736.00
2017/05/24	3.80	3.84	3.67	3.83	5324545	20091628.00
2017/05/25	3.85	3.98	3.82	3.94	9457533	36962336.00
2017/05/26	3.92	3.97	3.91	3.94	4569872	18004746.00
2017/05/31	3.99	4.05	3.95	3.96	7456483	29935546.00
2017/06/01	3.95	3.95	3.79	3.79	7855593	30532572.00
2017/06/02	3.81	3.92	3.81	3.90	10484550	40582688.00
2017/06/05	3.90	3.94	3.89	3.92	6374525	24936970.00
2017/06/06	3.92	3.96	3.87	3.92	4986400	19511332.00
2017/06/07	3.92	4.07	3.90	4.03	11366758	45394756.00
2017/06/08	4.01	4.05	3.99	4.00	4922324	19752964.00
2017/06/09	4.02	4.02	3.89	3.97	8128270	32166608.00
2017/06/12	3.97	3.97	3.90	3.92	5507194	21666976.00
2017/06/13	3.93	3.98	3.88	3.96	4992740	19708362.00
2017/06/14	3.96	3.97	3.94	3.95	3190025	12600806.00
2017/06/15	3.93	4.02	3.93	4.00	5698411	22688676.00
2017/06/16	4.00	4.01	3.96	3.98	5624003	22364120.00
2017/06/19	3.98	4.02	3.95	4.01	7131202	28393880.00
2017/06/20	4.01	4.06	3.99	4.01	9941377	39928996.00
2017/06/21	4.01	4.02	3.93	3.96	7604980	30150350.00
2017/06/22	3.97	3.99	3.91	3.92	10826917	42818880.00
2017/06/23	3.92	3.95	3.86	3.92	7347690	28678680.00
2017/06/26	3.92	3.98	3.89	3.97	6314474	24910088.00
2017/06/27	3.96	3.99	3.95	3.98	5492393	21814580.00
2017/06/28	4.00	4.02	3.96	3.96	7941364	31652698.00
2017/06/29	3.97	4.02	3.96	3.98	4180606	16669999.00
2017/06/30	3.99	4.00	3.96	3.99	3154799	12553545.00
2017/07/03	4.00	4.01	3.97	4.00	6826032	27287760.00
2017/07/04	4.01	4.02	3.97	4.01	6119300	24459106.00
2017/07/05	3.99	4.06	3.99	4.05	8289409	33417108.00
2017/07/06	4.06	4.16	4.02	4.10	11053767	45064792.00
2017/07/07	4.09	4.11	4.06	4.10	5165129	21091708.00
2017/07/10	4.11	4.16	4.08	4.10	9683983	39924864.00
2017/07/11	4.10	4.17	4.08	4.11	9711101	40102400.00
2017/07/12	4.12	4.13	4.00	4.09	12797701	52028904.00
2017/07/13	4.09	4.17	4.08	4.14	12135730	50182476.00
2017/07/14	4.15	4.17	4.11	4.17	9065996	37577280.00
