600078 澄星股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	7.50	7.74	7.49	7.68	20968940	160065632.00
2017/03/28	7.65	7.65	7.40	7.43	17780985	133484400.00
2017/03/29	7.46	7.53	7.36	7.40	11543982	86006392.00
2017/03/30	7.36	7.50	7.29	7.40	13037880	96369424.00
2017/03/31	7.38	7.45	7.28	7.38	9324146	68730304.00
2017/04/05	7.36	7.56	7.36	7.56	10835682	81072696.00
2017/04/06	7.56	7.64	7.52	7.61	11817717	89587840.00
2017/04/07	7.56	7.66	7.50	7.54	10244016	77512680.00
2017/04/10	7.52	7.68	7.51	7.60	14527200	110534304.00
2017/04/11	7.60	7.66	7.27	7.44	21126112	157077648.00
2017/04/12	7.39	7.42	7.30	7.31	11071144	81299360.00
2017/04/13	7.29	7.36	7.25	7.27	8571900	62609192.00
2017/04/14	7.25	7.29	7.01	7.05	12781469	91026320.00
2017/04/17	7.07	7.08	6.93	7.01	6748323	47343296.00
2017/04/18	7.01	7.06	6.92	6.92	4555134	31880558.00
2017/04/19	6.85	6.90	6.36	6.82	10945757	73488720.00
2017/04/20	6.82	6.87	6.57	6.77	7214385	48768316.00
2017/04/21	6.78	6.85	6.75	6.80	3889560	26415484.00
2017/04/24	6.74	6.74	6.18	6.22	12775921	82057104.00
2017/04/25	6.27	6.34	6.22	6.28	6820631	42917860.00
2017/04/26	6.30	6.43	6.28	6.37	4980307	31772716.00
2017/04/27	6.33	6.41	6.09	6.39	7410803	46344040.00
2017/04/28	6.37	6.46	6.31	6.43	4159253	26615164.00
2017/05/02	6.43	6.44	6.33	6.40	4153784	26526492.00
2017/05/03	6.39	6.43	6.30	6.35	4078052	25950568.00
2017/05/04	6.33	6.41	6.28	6.37	3906501	24840562.00
2017/05/05	6.33	6.37	6.13	6.16	5580107	34752456.00
2017/05/08	6.13	6.15	6.00	6.02	5820025	35434480.00
2017/05/09	6.03	6.14	6.01	6.12	4111000	25003584.00
2017/05/10	6.12	6.17	5.92	5.95	5040479	30475428.00
2017/05/11	5.95	6.00	5.74	5.96	6784593	39984892.00
2017/05/12	5.82	5.97	5.82	5.96	3804298	22534180.00
2017/05/15	5.99	5.99	5.93	5.95	2485817	14827759.00
2017/05/16	5.95	6.11	5.85	6.11	4874649	29324588.00
2017/05/17	6.10	6.22	6.07	6.11	4473400	27413324.00
2017/05/18	6.09	6.13	6.03	6.07	3132838	19065716.00
2017/05/19	6.08	6.10	6.03	6.09	2237120	13571705.00
2017/05/22	6.06	6.09	5.90	5.94	3885718	23295284.00
2017/05/23	5.94	5.96	5.70	5.72	6883889	40085872.00
2017/05/24	5.72	5.78	5.59	5.75	3935896	22417884.00
2017/05/25	5.75	5.85	5.67	5.85	4475106	25925590.00
2017/05/26	5.84	5.90	5.81	5.83	2638413	15420288.00
2017/05/31	5.90	5.93	5.82	5.82	3361020	19719020.00
2017/06/01	5.83	5.83	5.60	5.63	2880624	16476133.00
2017/06/02	5.65	5.78	5.51	5.74	3927050	22159492.00
2017/06/05	5.74	5.81	5.74	5.77	2255735	13046479.00
2017/06/06	5.76	5.84	5.74	5.84	2740216	15925178.00
2017/06/07	5.80	5.97	5.80	5.95	3795863	22449728.00
2017/06/08	5.93	5.94	5.83	5.88	3233739	19015162.00
2017/06/09	5.89	5.90	5.84	5.89	2877945	16887072.00
2017/06/12	5.86	5.88	5.72	5.75	3474276	20165640.00
2017/06/13	5.79	5.89	5.72	5.87	3591880	21001452.00
2017/06/14	5.87	6.00	5.85	5.97	5680908	33718648.00
2017/06/15	5.90	6.07	5.90	5.99	5654165	33914972.00
2017/06/16	5.99	6.03	5.94	6.01	4014302	24041482.00
2017/06/19	6.03	6.04	5.96	6.04	3353134	20131112.00
2017/06/20	6.04	6.08	6.00	6.03	4439281	26797594.00
2017/06/21	6.03	6.04	5.96	6.03	2799891	16808344.00
2017/06/22	6.04	6.04	5.88	5.89	3610604	21570108.00
2017/06/23	5.90	5.92	5.76	5.91	3953339	23126716.00
2017/06/26	5.91	6.24	5.88	6.11	8585483	51975332.00
2017/06/27	6.30	6.46	6.19	6.22	21722415	137386656.00
2017/06/28	6.13	6.21	6.07	6.13	10021952	61343408.00
2017/06/29	6.10	6.16	6.05	6.10	5831676	35631872.00
2017/06/30	6.07	6.23	6.06	6.15	7330680	45126548.00
2017/07/03	6.10	6.19	6.09	6.19	3979150	24469744.00
2017/07/04	6.13	6.22	6.12	6.14	3991735	24598668.00
2017/07/05	6.13	6.24	6.12	6.23	5904105	36614328.00
2017/07/06	6.23	6.39	6.20	6.36	13410696	84677504.00
2017/07/07	6.32	6.60	6.26	6.49	13111277	84198872.00
2017/07/10	6.44	6.55	6.35	6.40	10530127	67889248.00
2017/07/11	6.40	6.44	6.23	6.25	7712801	48693064.00
2017/07/12	6.24	6.28	6.11	6.26	6116602	37852788.00
2017/07/13	6.27	6.38	6.24	6.37	7758976	49088988.00
2017/07/14	6.37	6.37	6.17	6.23	5255269	32864256.00
2017/07/17	6.21	6.21	5.70	5.79	10057396	59505264.00
2017/07/18	5.79	5.95	5.76	5.94	4663045	27275270.00
2017/07/19	5.96	6.50	5.95	6.49	25178372	158742864.00
2017/07/20	6.50	6.75	6.44	6.55	37801412	249160032.00
2017/07/21	6.52	6.64	6.39	6.58	18645639	121343464.00
2017/07/24	6.50	6.72	6.48	6.61	20639558	136872432.00
2017/07/25	6.58	6.62	6.41	6.53	12326525	79956232.00
2017/07/26	6.48	7.08	6.48	6.89	34814156	236301216.00
2017/07/27	6.79	7.03	6.66	6.82	30220413	207661840.00
2017/07/28	6.74	6.93	6.60	6.84	20059807	136167008.00
2017/07/31	6.76	7.25	6.76	7.12	43833107	309991136.00
2017/08/01	7.06	7.13	6.84	7.07	26865435	187951264.00
2017/08/02	7.02	7.18	6.87	6.95	26065795	182540240.00
2017/08/03	6.91	7.07	6.87	7.00	16490746	114868832.00
2017/08/04	7.01	7.17	6.94	7.07	30232933	213684448.00
2017/08/07	6.98	7.01	6.76	6.94	22734416	156191120.00
2017/08/08	6.88	7.03	6.81	6.83	17009289	117600032.00
2017/08/09	6.83	7.10	6.71	7.04	18840470	129044288.00
2017/08/10	6.97	7.05	6.78	6.94	14673093	101332176.00
2017/08/11	6.86	6.88	6.48	6.50	16092881	107667864.00
2017/08/14	6.52	6.67	6.50	6.64	8567302	56379576.00
2017/08/15	6.64	7.15	6.58	7.09	34348759	238731184.00
2017/08/16	6.98	7.05	6.83	6.95	27507982	190443040.00
2017/08/17	6.95	7.07	6.90	6.98	17747360	123813456.00
2017/08/18	6.74	6.76	6.57	6.60	25327578	168448064.00
2017/08/21	6.57	6.68	6.52	6.61	11247883	74355688.00
2017/08/22	6.61	6.65	6.47	6.50	12030880	78727264.00
2017/08/23	6.43	6.50	6.35	6.39	11101571	71167776.00
2017/08/24	6.40	6.42	6.29	6.29	7564202	47899148.00
2017/08/25	6.31	6.41	6.25	6.37	7220801	45890936.00
2017/08/28	6.37	6.40	6.27	6.39	10992612	69677136.00
2017/08/29	6.38	6.41	6.32	6.34	7759501	49352628.00
2017/08/30	6.32	6.47	6.32	6.42	10991017	70474632.00
2017/08/31	6.41	6.51	6.36	6.49	9184656	59222140.00
2017/09/01	6.48	6.57	6.42	6.53	12930357	84005656.00
2017/09/04	6.50	6.66	6.50	6.61	15986707	105228448.00
2017/09/05	6.60	6.65	6.54	6.55	10219500	67384624.00
2017/09/06	6.56	6.68	6.52	6.65	12001416	79460544.00
2017/09/07	6.63	6.65	6.53	6.54	8954527	58961252.00
2017/09/08	6.54	6.76	6.52	6.74	18932648	126195024.00
2017/09/11	6.69	6.72	6.62	6.69	14481306	96428000.00
2017/09/12	6.68	6.80	6.62	6.72	23236351	156103440.00
2017/09/13	6.71	6.76	6.64	6.75	12288128	82226144.00
2017/09/14	6.75	6.82	6.58	6.65	15892885	106372160.00
2017/09/15	6.62	6.64	6.43	6.48	13965976	90864976.00
2017/09/18	6.45	6.53	6.42	6.51	8196059	53045168.00
2017/09/19	6.49	6.50	6.38	6.42	7894385	50810412.00
2017/09/20	6.44	6.59	6.35	6.54	15872462	102805824.00
2017/09/21	6.50	6.58	6.44	6.49	12033271	78232616.00
2017/09/22	6.46	6.48	6.29	6.31	8844300	56416496.00
2017/09/25	6.30	6.34	6.09	6.10	9777414	60511160.00
2017/09/26	6.09	6.19	6.07	6.19	5270972	32351908.00
2017/09/27	6.15	6.21	6.14	6.18	3569200	22056664.00
2017/09/28	6.20	6.22	6.10	6.11	4745201	29183816.00
2017/09/29	6.12	6.20	6.09	6.13	6163864	37845840.00
2017/10/09	6.19	6.25	6.15	6.23	5066696	31529650.00
2017/10/10	6.23	6.28	6.19	6.27	5934886	36994832.00
2017/10/11	6.28	6.28	6.22	6.24	4568000	28574724.00
2017/10/12	6.24	6.27	6.12	6.19	5903131	36523860.00
2017/10/13	6.18	6.23	6.16	6.22	3914055	24253476.00
2017/10/16	6.23	6.23	6.03	6.03	7203131	43947776.00
2017/10/17	6.05	6.10	6.02	6.07	3033300	18367406.00
2017/10/18	6.06	6.11	5.91	5.95	4208000	25279072.00
2017/10/19	5.95	5.95	5.76	5.80	6385212	37248624.00
2017/10/20	5.80	5.89	5.80	5.88	3148981	18428704.00
2017/10/23	5.88	5.95	5.84	5.93	2872457	16916774.00
2017/10/24	5.92	5.95	5.84	5.92	4207992	24776866.00
2017/10/25	5.89	5.96	5.88	5.94	3640157	21580252.00
2017/10/26	5.94	5.97	5.88	5.96	3589513	21288746.00
2017/10/27	5.93	5.96	5.86	5.89	3575846	21088960.00
2017/10/30	5.86	5.88	5.68	5.71	5049733	28927144.00
2017/10/31	5.69	5.77	5.69	5.75	2882001	16514670.00
2017/11/01	5.77	5.79	5.73	5.75	3067430	17677412.00
2017/11/02	5.77	5.77	5.65	5.68	3305796	18835384.00
2017/11/03	5.65	5.71	5.60	5.67	3329102	18819720.00
2017/11/06	5.67	5.81	5.64	5.80	4026199	23043578.00
2017/11/07	5.79	5.88	5.78	5.85	4654134	27176594.00
2017/11/08	5.85	5.88	5.80	5.82	3961137	23134736.00
2017/11/09	5.80	5.88	5.79	5.87	2829638	16561139.00
2017/11/10	5.85	5.87	5.80	5.82	2848407	16594962.00
2017/11/13	5.85	5.85	5.73	5.75	2937301	16972784.00
2017/11/14	5.73	5.79	5.65	5.71	3380577	19344328.00
