600079 人福医药 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	21.01	21.30	20.75	20.78	8909845	187216336.00
2017/03/28	20.72	20.86	20.56	20.77	6804336	140754128.00
2017/03/29	20.61	20.65	19.96	20.01	24601404	497299456.00
2017/03/30	19.92	20.06	19.50	19.90	10861527	214646512.00
2017/03/31	19.79	20.04	19.70	19.74	5650779	112144960.00
2017/04/05	19.73	20.03	19.70	19.94	6997300	139395328.00
2017/04/06	19.95	20.36	19.95	20.35	8069351	163347616.00
2017/04/07	20.35	20.38	20.10	20.28	6246636	126568208.00
2017/04/10	20.27	20.27	19.75	19.96	9403701	188339952.00
2017/04/11	19.96	20.15	19.61	19.81	9447193	186849568.00
2017/04/12	19.77	20.08	19.72	20.02	6448909	128276608.00
2017/04/13	19.98	20.22	19.81	20.12	8118653	162962352.00
2017/04/14	20.22	20.22	19.91	20.09	4972736	99554336.00
2017/04/17	20.13	20.14	19.65	19.77	6808487	134772928.00
2017/04/18	19.78	20.26	19.76	19.89	9364802	187368160.00
2017/04/19	19.88	20.16	19.78	20.12	7184274	143945008.00
2017/04/20	20.12	20.75	20.00	20.42	14020001	286598208.00
2017/04/21	20.58	20.60	19.98	20.51	11196050	227413456.00
2017/04/24	20.40	20.67	20.02	20.65	10774419	219493776.00
2017/04/25	20.54	20.69	20.30	20.49	6663534	136631712.00
2017/04/26	20.45	20.58	20.25	20.27	5740957	117238776.00
2017/04/27	20.24	20.32	19.85	20.22	7142417	143441152.00
2017/04/28	20.20	20.22	19.95	20.00	6102647	122323672.00
2017/05/02	19.91	20.22	19.91	20.20	3426153	68797336.00
2017/05/03	20.12	20.18	19.95	20.02	5170341	103457664.00
2017/05/04	20.02	20.31	19.90	20.13	6476804	130584592.00
2017/05/05	20.14	20.34	19.95	20.25	5678158	114499728.00
2017/05/08	20.29	20.62	20.15	20.34	10000229	204515552.00
2017/05/09	20.29	20.29	19.90	20.03	7543321	151155760.00
2017/05/10	20.01	20.12	19.63	19.92	7959653	158110496.00
2017/05/11	19.74	20.09	19.32	19.98	11246057	221767232.00
2017/05/12	19.80	19.99	19.66	19.70	5227313	103636080.00
2017/05/15	19.65	20.07	19.61	19.80	3445508	68579784.00
2017/05/16	19.82	20.58	19.76	20.48	9384913	189877808.00
2017/05/17	20.48	20.67	20.35	20.46	5756041	117850152.00
2017/05/18	20.48	20.57	20.30	20.49	7898684	161826864.00
2017/05/19	20.42	20.45	20.06	20.15	6006440	121701960.00
2017/05/22	20.02	20.78	20.02	20.67	10534174	215935072.00
2017/05/23	20.67	21.32	20.52	20.96	13640183	284824896.00
2017/05/24	20.85	21.09	20.30	21.08	10395646	215047136.00
2017/05/31	21.50	21.50	18.97	19.38	58022791	1133361920.00
2017/06/01	19.10	19.60	18.75	19.55	30931240	593566144.00
2017/06/02	19.35	19.35	18.85	18.89	21150803	401421280.00
2017/06/05	18.88	19.12	18.76	18.93	10373113	197132464.00
2017/06/06	18.88	19.07	18.58	18.73	15510412	290652128.00
2017/06/07	18.72	19.09	18.67	19.00	17059657	322716800.00
2017/06/08	18.99	19.40	18.93	19.35	15387675	293824224.00
2017/06/09	19.36	19.36	19.07	19.10	12511589	240103328.00
2017/06/12	19.06	19.27	18.89	19.03	14015474	267187936.00
2017/06/13	19.24	19.70	19.24	19.47	29292759	569213952.00
2017/06/14	19.36	19.40	19.14	19.23	9360250	179841840.00
2017/06/15	19.26	19.34	19.13	19.30	8690453	167256192.00
2017/06/16	19.25	19.25	19.06	19.14	6245470	119435976.00
2017/06/19	19.15	19.18	18.92	19.08	9854393	187429184.00
2017/06/20	19.08	19.23	19.06	19.09	8536601	163448976.00
2017/06/21	19.14	19.15	19.01	19.14	6935106	132373200.00
2017/06/22	19.12	19.28	19.04	19.21	15398748	295529408.00
2017/06/23	19.10	19.15	18.91	19.07	13642807	259083312.00
2017/06/26	19.04	19.31	18.85	19.26	14990278	285798176.00
2017/06/27	19.25	19.25	18.95	19.09	13915766	265445472.00
2017/06/28	19.41	19.69	19.26	19.39	26716674	520224224.00
2017/06/29	19.40	19.74	19.33	19.66	14040749	274446240.00
2017/06/30	19.60	19.68	19.51	19.62	6303224	123449520.00
2017/07/03	19.60	19.87	19.50	19.60	9100434	178708960.00
2017/07/04	19.60	19.66	19.44	19.48	6455009	125944656.00
2017/07/05	19.41	19.54	19.29	19.48	11677112	226418080.00
2017/07/06	19.49	19.49	18.98	19.15	12934350	248272864.00
2017/07/07	19.12	19.12	18.97	19.02	11204395	213052496.00
2017/07/10	19.02	19.07	18.86	18.89	9793388	185573424.00
2017/07/11	18.90	18.98	18.84	18.85	7115500	134436384.00
2017/07/12	18.81	18.92	18.50	18.85	10369396	194082416.00
2017/07/13	18.88	18.98	18.82	18.92	7087862	134115376.00
2017/07/14	18.87	19.04	18.80	18.88	4585927	86724512.00
2017/07/17	18.87	18.87	18.19	18.25	8897067	164188272.00
2017/07/18	18.25	18.40	17.86	18.18	14205613	256105360.00
