600080 金花股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	11.58	11.66	11.46	11.47	3288483	37999324.00
2017/03/28	11.49	11.72	11.48	11.68	5174066	60044640.00
2017/03/29	11.65	11.74	11.48	11.66	5169678	60169736.00
2017/03/30	11.56	11.62	11.10	11.22	8372950	94274968.00
2017/03/31	11.22	11.98	11.18	11.58	8679652	99612968.00
2017/04/05	11.50	11.52	11.22	11.37	10747148	121460040.00
2017/04/06	11.35	11.36	11.25	11.29	4581586	51775712.00
2017/04/07	11.16	11.43	11.16	11.35	5026931	56923184.00
2017/04/10	11.22	11.41	11.21	11.22	3617045	40870600.00
2017/04/11	11.19	11.30	11.11	11.27	2959479	33143304.00
2017/04/12	11.30	11.43	11.19	11.29	4107681	46604676.00
2017/04/13	11.30	11.30	11.18	11.21	2740108	30754874.00
2017/04/14	11.25	11.28	10.85	10.88	3796408	42007960.00
2017/04/17	10.81	10.92	10.40	10.46	5678528	60378392.00
2017/04/18	10.48	10.69	10.23	10.37	3203280	33788524.00
2017/04/19	10.36	10.43	10.11	10.23	4182403	42845252.00
2017/04/20	10.20	10.30	10.06	10.17	2852233	29005668.00
2017/04/21	10.18	10.26	10.13	10.23	2473263	25241744.00
2017/04/24	10.23	10.23	9.72	9.75	4235719	41673240.00
2017/04/25	9.73	9.90	9.56	9.59	3651752	35470324.00
2017/04/26	9.60	9.82	9.59	9.81	2425048	23597892.00
2017/04/27	9.79	9.79	9.50	9.72	5335349	51529856.00
2017/04/28	9.70	9.91	9.61	9.89	3409857	33358688.00
2017/05/02	9.87	10.04	9.80	9.92	2871570	28500354.00
2017/05/03	9.90	9.99	9.85	9.96	2045821	20312620.00
2017/05/04	9.94	10.08	9.88	9.93	2152876	21468384.00
2017/05/05	9.93	9.98	9.51	9.80	2020534	19855156.00
2017/05/08	9.82	9.82	9.58	9.61	1884243	18174774.00
2017/05/09	9.56	9.68	9.39	9.62	2660263	25287290.00
2017/05/10	9.61	9.68	9.40	9.40	1728161	16526720.00
2017/05/11	9.41	9.41	9.03	9.28	2708210	24966092.00
2017/05/12	9.28	9.45	9.03	9.40	4369513	40497840.00
2017/05/15	9.32	9.40	9.23	9.34	2215357	20634582.00
2017/05/16	9.31	9.50	9.16	9.48	3066228	28614848.00
2017/05/17	9.47	9.68	9.45	9.60	3423400	32769468.00
2017/05/18	9.51	10.14	9.42	10.07	8415855	83448648.00
2017/05/19	9.99	10.05	9.73	9.80	4639948	45632232.00
2017/05/22	9.72	9.77	9.46	9.49	3355488	32206556.00
2017/05/23	9.55	9.55	8.98	9.46	4524077	41808764.00
2017/05/24	9.26	9.61	9.25	9.41	4039400	37946132.00
2017/05/25	9.43	9.51	9.10	9.30	4856001	45043260.00
2017/05/26	9.31	9.75	9.22	9.72	5382994	51074920.00
2017/05/31	9.98	9.98	9.20	9.23	7880091	74842224.00
2017/06/01	9.00	9.25	8.92	9.07	3205593	29249896.00
2017/06/02	9.09	9.25	8.97	9.18	2841815	25889200.00
2017/06/05	9.22	9.30	9.17	9.26	1713946	15847279.00
2017/06/06	9.27	9.27	9.15	9.24	1312201	12081521.00
2017/06/07	9.26	9.48	9.15	9.41	4169417	39080720.00
2017/06/08	9.41	9.52	9.34	9.37	2609341	24575160.00
2017/06/09	9.37	9.40	9.23	9.30	1664217	15484603.00
2017/06/12	9.35	9.77	9.28	9.52	12324502	118106736.00
