600083 博信股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	17.83	18.41	17.60	18.38	9004399	162497952.00
2017/03/28	18.22	18.70	18.13	18.62	6315647	116979920.00
2017/03/29	18.71	18.71	18.13	18.39	3092293	56597568.00
2017/03/30	18.29	18.29	17.41	17.69	3973984	70441584.00
2017/03/31	17.57	19.02	17.30	18.83	3908990	70064904.00
2017/04/05	18.45	18.68	18.35	18.47	3115185	57680720.00
2017/04/06	18.39	18.51	18.11	18.16	2471086	45078152.00
2017/04/07	18.20	18.36	18.00	18.06	2294349	41570184.00
2017/04/10	18.06	18.42	17.80	18.23	2795746	51075896.00
2017/04/11	18.13	18.32	17.71	18.01	2291867	41193660.00
2017/04/12	18.10	18.29	17.93	18.01	1482989	26868664.00
2017/04/13	18.02	18.19	17.78	18.04	1338002	23996084.00
2017/04/14	18.10	18.10	17.70	17.73	1062300	19004230.00
2017/04/17	17.73	17.83	17.53	17.60	1071045	18936354.00
2017/04/18	17.50	17.60	16.30	16.35	1946180	33157088.00
2017/04/19	16.43	16.45	15.39	15.63	2976827	46705632.00
2017/04/20	15.65	15.77	15.02	15.31	2187896	33745184.00
2017/04/21	15.50	15.63	15.15	15.22	1256100	19302144.00
2017/04/24	15.22	15.30	13.70	13.70	2665911	38123076.00
2017/04/25	13.60	14.32	13.60	14.11	2032368	28547220.00
2017/04/26	14.21	14.54	14.15	14.24	1314059	18855504.00
2017/04/27	14.47	14.47	13.35	13.78	2199719	30440170.00
2017/04/28	13.90	14.22	13.71	14.07	2127701	29784764.00
2017/05/02	14.00	14.52	13.98	14.03	1991176	28334798.00
2017/05/03	14.11	14.24	13.99	14.09	1020388	14372805.00
2017/05/04	14.09	14.19	13.24	14.09	1133176	15809994.00
2017/05/05	14.32	14.59	14.11	14.13	2280395	32846020.00
2017/05/08	13.91	13.91	13.36	13.41	2055490	27970006.00
2017/05/09	13.40	13.54	13.04	13.29	1858925	24661656.00
2017/05/10	13.36	13.50	13.09	13.11	997942	13276180.00
2017/05/11	13.12	13.12	12.20	12.58	1642950	20665176.00
2017/05/12	12.66	12.79	12.26	12.42	1113392	13843625.00
2017/05/15	12.43	12.65	12.39	12.60	1027940	12856011.00
2017/05/16	12.65	13.46	12.46	13.22	2156018	28083928.00
2017/05/17	13.12	13.33	13.00	13.25	1248143	16490065.00
2017/05/18	13.15	13.46	12.92	13.06	1210866	15962397.00
2017/05/19	13.06	13.14	12.62	12.77	1282801	16395989.00
2017/05/22	12.75	12.90	12.25	12.47	1861279	23436148.00
2017/05/23	12.45	12.45	11.78	11.90	1762297	21229060.00
2017/05/24	11.89	11.95	11.36	11.93	1216854	14196307.00
2017/05/25	11.97	12.30	11.75	11.99	1911297	22949164.00
