600089 特变电工 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	11.43	11.84	11.36	11.52	64576264	750309312.00
2017/03/28	11.41	11.46	11.19	11.26	54070281	610929216.00
2017/03/29	11.33	11.80	11.27	11.45	61465503	709476928.00
2017/03/30	11.48	11.67	11.27	11.39	56201411	641287552.00
2017/03/31	11.39	11.45	11.04	11.19	43639852	487471744.00
2017/04/05	11.19	11.45	11.16	11.40	35425273	402210368.00
2017/04/06	11.40	11.66	11.37	11.57	50022017	576612416.00
2017/04/07	11.58	11.77	11.42	11.45	46338659	536779264.00
2017/04/10	11.45	11.46	11.26	11.35	35689197	404544384.00
2017/04/11	11.34	11.57	11.27	11.56	44519514	510113024.00
2017/04/12	11.56	11.66	11.31	11.44	36212080	416089280.00
2017/04/13	11.35	11.54	11.30	11.51	24413025	278813344.00
2017/04/14	11.51	11.58	11.34	11.47	25398278	290204064.00
2017/04/17	11.42	11.80	11.37	11.77	60463478	706296768.00
2017/04/18	11.74	11.95	11.61	11.79	52079558	615958720.00
2017/04/19	11.78	12.07	11.70	12.00	69669173	830045952.00
2017/04/20	11.98	12.44	11.88	12.38	82658184	1016394688.00
2017/04/21	12.36	12.36	11.41	11.57	133871154	1583600512.00
2017/04/24	11.35	11.44	10.61	11.13	97491877	1070540928.00
2017/04/25	11.00	11.22	10.82	11.04	35428391	391513120.00
2017/04/26	11.00	11.20	10.91	10.98	33056781	365252160.00
2017/04/27	11.00	11.37	10.84	11.31	45923086	512656864.00
2017/04/28	11.32	11.37	11.18	11.33	26426715	298023360.00
2017/05/02	11.37	11.51	11.05	11.19	37793042	426301696.00
2017/05/03	11.15	11.39	11.05	11.22	37921690	426236000.00
2017/05/04	11.18	11.23	10.92	11.13	37522029	414493504.00
2017/05/05	11.03	11.15	10.76	11.12	50804955	558543744.00
2017/05/08	11.06	11.08	10.12	10.18	65907200	697714880.00
2017/05/09	10.12	10.39	10.05	10.23	34792779	355809600.00
2017/05/10	10.29	10.45	9.93	9.94	45285469	460408736.00
2017/05/11	9.93	10.26	9.83	10.25	42060888	422659904.00
2017/05/12	10.25	10.45	10.16	10.21	34584791	356289952.00
2017/05/15	10.34	10.45	9.99	10.04	39013685	396609920.00
2017/05/16	10.00	10.20	9.66	10.19	53953110	532320992.00
2017/05/17	10.21	10.32	10.09	10.27	39084539	399726464.00
2017/05/18	10.18	10.25	10.03	10.09	28565056	289424320.00
2017/05/19	10.13	10.16	10.02	10.12	19713448	198862816.00
2017/05/22	9.87	9.89	9.58	9.65	27048777	263996384.00
2017/05/23	9.65	9.73	9.35	9.48	25179411	240907072.00
2017/05/24	9.46	9.62	9.32	9.61	20776747	197277920.00
2017/05/25	9.55	9.66	9.35	9.63	45311646	430819744.00
2017/05/26	9.65	9.86	9.61	9.67	57740309	563863488.00
2017/05/31	9.74	9.82	9.60	9.66	59135619	574011136.00
2017/06/09	9.62	10.05	9.53	9.97	84109737	826202752.00
2017/06/12	9.88	9.94	9.73	9.81	39765107	390604768.00
2017/06/13	9.81	9.93	9.76	9.86	26102431	257636224.00
2017/06/14	9.83	9.93	9.79	9.82	21109820	207999136.00
2017/06/15	9.82	9.89	9.68	9.75	30558687	298140480.00
2017/06/16	9.73	9.82	9.71	9.74	14900321	145383200.00
2017/06/19	9.77	9.86	9.70	9.86	21234522	207962944.00
2017/06/20	9.89	9.93	9.80	9.83	23528172	231898080.00
2017/06/21	9.91	9.92	9.81	9.89	24082808	237636448.00
2017/06/22	9.86	10.09	9.81	9.89	57457805	573183296.00
2017/06/23	9.87	9.93	9.69	9.77	36818686	360967488.00
2017/06/26	9.80	10.18	9.77	10.17	75437801	758359488.00
2017/06/27	10.18	10.39	10.15	10.26	61811468	634544704.00
2017/06/28	10.25	10.43	10.11	10.30	46667176	479423520.00
2017/06/29	10.26	10.37	10.21	10.34	35734207	367528032.00
2017/06/30	10.27	10.43	10.25	10.33	30754857	317954304.00
2017/07/03	10.33	10.37	10.17	10.23	41860206	427628288.00
2017/07/04	10.22	10.31	10.17	10.20	30673220	313683456.00
2017/07/05	10.20	10.26	10.18	10.24	33696651	344137280.00
2017/07/06	10.24	10.31	10.04	10.10	49978179	506809024.00
2017/07/07	10.11	10.15	10.04	10.15	27891208	282030048.00
2017/07/10	10.14	10.19	10.08	10.15	28702708	290653248.00
2017/07/11	10.14	10.30	10.08	10.23	44490525	454137088.00
2017/07/12	10.23	10.24	9.90	9.98	53195028	532962080.00
2017/07/13	9.98	10.12	9.93	10.07	32854935	329506528.00
2017/07/14	10.08	10.09	9.94	9.97	26906872	268845440.00
2017/07/17	9.97	10.02	9.54	9.58	45907217	446130560.00
2017/07/18	9.55	9.70	9.55	9.68	24371909	234705616.00
2017/07/19	9.66	9.95	9.65	9.94	36495148	358700672.00
2017/07/20	10.00	10.05	9.88	9.91	33239855	330409728.00
2017/07/21	9.90	10.24	9.83	10.21	65671761	664093312.00
2017/07/24	10.25	10.40	10.15	10.31	65114293	670146240.00
2017/07/25	10.31	10.38	10.15	10.26	36720352	375596800.00
2017/07/26	10.26	10.30	10.07	10.16	33911791	344407936.00
2017/07/27	10.16	10.38	10.05	10.36	47542801	485004384.00
2017/07/28	10.36	10.42	10.16	10.19	44487168	457846176.00
2017/07/31	10.16	10.56	10.12	10.51	72273309	747572352.00
2017/08/01	10.58	10.66	10.45	10.58	70479460	743414336.00
2017/08/02	10.54	10.57	10.32	10.33	55297581	576916288.00
2017/08/03	10.36	10.72	10.36	10.66	89625412	950348288.00
2017/08/04	10.68	10.70	10.53	10.55	57633487	611641344.00
2017/08/07	10.51	10.60	10.35	10.47	47135548	491950720.00
2017/08/08	10.44	10.74	10.42	10.58	56103633	595913920.00
2017/08/09	10.55	10.55	10.30	10.40	56863403	590419520.00
2017/08/10	10.38	10.38	10.11	10.15	51145885	522470912.00
2017/08/11	10.05	10.13	9.80	9.85	66049968	657371840.00
2017/08/14	9.86	10.03	9.83	10.01	28510393	283512256.00
2017/08/15	10.01	10.05	9.86	9.94	39079748	389136032.00
2017/08/16	9.91	9.92	9.81	9.90	28511192	281146304.00
2017/08/17	9.92	10.00	9.88	9.99	28667225	284804128.00
2017/08/18	9.93	9.99	9.91	9.96	21510611	213924816.00
2017/08/21	9.97	10.03	9.92	9.98	27102434	269860640.00
