600090 同济堂 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	11.44	11.49	11.35	11.42	5253234	59957052.00
2017/03/28	11.37	11.60	11.35	11.47	5537895	63729832.00
2017/03/29	11.50	11.56	11.19	11.20	5967948	67389024.00
2017/03/30	11.20	11.20	10.78	10.82	5585232	61080420.00
2017/03/31	10.81	10.89	10.71	10.78	2677291	28878672.00
2017/04/05	10.78	11.00	10.78	10.93	3662458	39943476.00
2017/04/06	10.92	10.98	10.87	10.95	2473152	26981852.00
2017/04/07	10.96	10.97	10.89	10.91	2107028	23025248.00
2017/04/10	10.91	10.92	10.69	10.71	3209143	34468552.00
2017/04/11	10.61	10.79	10.61	10.79	2380320	25494618.00
2017/04/12	10.82	10.82	10.70	10.79	3039100	32660224.00
2017/04/13	10.79	10.81	10.73	10.75	2147249	23103804.00
2017/04/14	10.75	10.75	10.53	10.56	3222339	34203056.00
2017/04/17	10.58	10.68	10.44	10.65	2432131	25725528.00
2017/04/18	10.66	10.68	10.50	10.53	2294585	24294184.00
2017/04/19	10.54	10.63	10.23	10.62	3530249	36703288.00
2017/04/20	10.62	10.68	10.53	10.57	2432637	25770556.00
2017/04/21	10.57	10.72	10.42	10.64	1759958	18661576.00
2017/04/24	10.78	10.82	10.35	10.40	2909401	30866772.00
2017/04/25	10.25	10.49	10.25	10.30	2134026	22073636.00
2017/04/26	10.31	10.43	10.10	10.16	3315857	33912672.00
2017/04/27	10.16	10.16	9.81	10.01	4006186	39828900.00
2017/04/28	10.07	10.08	9.91	10.03	2147239	21518884.00
2017/05/02	10.03	10.09	9.92	9.93	2502105	25019288.00
2017/05/03	9.84	9.95	9.81	9.90	2471273	24436744.00
2017/05/04	9.87	9.93	9.80	9.92	2680865	26478834.00
2017/05/05	9.85	9.91	9.68	9.72	2189687	21539040.00
2017/05/08	9.66	9.68	9.38	9.39	3147964	29820970.00
2017/05/09	9.40	9.49	9.22	9.46	2786470	26098118.00
2017/05/10	9.51	9.59	9.12	9.14	2602952	24498988.00
2017/05/11	8.89	9.13	8.61	8.89	3247689	28897256.00
2017/05/12	8.91	8.94	8.73	8.89	2315500	20447860.00
2017/05/15	8.80	8.95	8.72	8.74	2773611	24502908.00
2017/05/16	8.70	8.97	8.51	8.95	3387113	29511668.00
2017/05/17	8.90	9.00	8.88	8.90	2278115	20335764.00
2017/05/18	8.80	9.24	8.78	9.05	4642223	42165688.00
2017/05/19	9.01	9.14	8.88	8.92	2381812	21404700.00
2017/05/22	8.93	9.09	8.87	9.02	2709660	24319842.00
2017/05/23	9.00	9.02	8.72	8.85	2030275	18002976.00
2017/05/24	8.76	8.80	8.59	8.78	2109107	18396272.00
2017/05/25	8.72	8.80	8.25	8.65	5611940	47556172.00
2017/05/26	8.58	8.73	8.46	8.65	3091947	26422492.00
2017/05/31	8.78	8.87	8.64	8.74	4236015	37094468.00
2017/06/01	8.71	8.71	8.38	8.61	3172017	27064634.00
2017/06/02	8.55	8.66	8.41	8.64	2451554	20913940.00
2017/06/05	8.64	8.72	8.57	8.66	2217200	19261098.00
2017/06/06	8.50	8.76	8.50	8.75	2060638	17909968.00
2017/06/07	8.71	9.50	8.70	9.35	13223396	121493856.00
2017/06/08	9.28	9.32	9.20	9.29	5557507	51395892.00
2017/06/09	9.30	9.31	9.21	9.27	4144457	38399196.00
2017/06/12	9.27	9.27	9.01	9.03	6158492	56165560.00
2017/06/13	9.05	9.21	8.97	9.20	6793868	61703668.00
