600093 易见股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	14.13	14.33	14.05	14.12	3552443	50229384.00
2017/03/28	14.09	14.17	13.87	13.88	4262988	59702408.00
2017/03/29	13.94	14.02	13.81	13.95	2932790	40873544.00
2017/03/30	13.95	13.95	13.60	13.62	3463271	47591088.00
2017/03/31	13.65	13.86	13.56	13.63	2677094	36654736.00
2017/04/05	13.63	13.95	13.60	13.90	2970282	41185748.00
2017/04/06	13.83	13.99	13.83	13.92	2673046	37168528.00
2017/04/07	13.93	14.28	13.90	14.23	4849122	68398240.00
2017/04/10	14.23	14.30	14.07	14.26	4335394	61551304.00
2017/04/11	14.23	14.50	14.07	14.42	6007525	86043992.00
2017/04/12	14.48	14.87	14.27	14.40	7454556	109359136.00
2017/04/13	14.40	14.65	14.12	14.14	5524341	79044048.00
2017/04/14	14.18	14.26	13.92	13.96	3820238	53575568.00
2017/04/17	13.96	14.08	13.75	14.00	2462412	34316108.00
2017/04/18	14.01	14.01	13.71	13.72	2445779	33919848.00
2017/04/19	13.72	13.81	13.10	13.23	4778828	63806888.00
2017/04/20	13.30	13.44	12.97	13.09	2785344	36727948.00
2017/04/21	13.14	13.17	12.70	13.05	4762652	61549456.00
2017/04/24	13.00	13.14	12.62	13.07	2904919	37494840.00
2017/04/25	13.05	13.19	12.91	12.94	2157413	28210304.00
2017/04/26	12.91	13.09	12.80	12.96	2349051	30330396.00
2017/04/27	12.99	13.46	12.96	13.28	3984437	52358512.00
2017/04/28	13.45	13.45	13.16	13.19	3154914	41877156.00
2017/05/02	13.15	13.42	13.06	13.20	3135404	41358692.00
2017/05/03	13.25	13.26	13.01	13.08	2741436	36004256.00
2017/05/04	13.01	13.28	13.01	13.24	2731319	36029800.00
2017/05/05	13.17	13.35	13.10	13.23	2675265	35425696.00
2017/05/08	13.22	13.27	12.96	12.98	2271286	29779800.00
2017/05/09	12.98	13.26	12.60	13.24	2916900	37705404.00
2017/05/10	13.26	13.28	12.40	12.57	3445835	44244744.00
2017/05/11	12.59	12.74	12.41	12.71	3112732	39243860.00
2017/05/12	12.76	12.91	12.63	12.84	1500447	19150974.00
2017/05/15	12.81	13.02	12.81	12.84	2582005	33355730.00
2017/06/12	14.12	14.12	13.51	13.71	17574119	242512864.00
