600096 云天化 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	8.90	8.96	8.84	8.88	6833303	60816936.00
2017/03/28	8.90	8.93	8.83	8.92	5603233	49760920.00
2017/03/29	8.92	8.98	8.84	8.85	6860962	61222764.00
2017/03/30	8.84	8.88	8.68	8.78	9802805	85927720.00
2017/03/31	8.78	8.91	8.68	8.81	9560110	83935944.00
2017/04/05	8.80	8.97	8.80	8.96	8258186	73466576.00
2017/04/06	8.93	8.96	8.88	8.92	6123401	54637660.00
2017/04/07	8.89	8.93	8.85	8.91	5568401	49517300.00
2017/04/10	8.97	9.00	8.82	8.86	6690300	59667060.00
2017/04/11	9.00	9.05	8.81	8.99	11982707	106935984.00
2017/04/12	9.00	9.00	8.87	8.89	8698000	77484784.00
2017/04/13	8.89	8.97	8.86	8.95	8758308	78113424.00
2017/04/14	8.94	8.94	8.75	8.77	8999578	79409144.00
2017/04/17	8.81	8.81	8.43	8.50	12041566	103297880.00
2017/04/18	8.52	8.53	8.36	8.37	6972493	58915864.00
2017/04/19	8.34	8.39	8.13	8.22	10454074	85909328.00
2017/04/20	8.12	8.22	7.96	8.15	7642278	62112920.00
2017/04/21	8.15	8.17	8.08	8.13	4352288	35370608.00
2017/04/24	8.13	8.13	7.89	7.91	6626913	52705388.00
2017/04/25	7.93	7.99	7.89	7.91	3942049	31300174.00
2017/04/26	7.92	7.98	7.89	7.92	4347435	34472652.00
2017/04/27	7.90	7.93	7.60	7.89	6243711	48647540.00
2017/04/28	7.84	7.98	7.82	7.97	4635096	36599040.00
2017/05/02	8.00	8.00	7.91	7.94	4923288	39152256.00
2017/05/03	7.91	7.97	7.80	7.92	5359028	42240608.00
2017/05/04	7.91	8.02	7.80	7.99	5608142	44535288.00
2017/05/05	7.96	8.01	7.89	7.95	4881548	38809236.00
2017/05/08	7.90	7.90	7.58	7.63	5955625	46304280.00
2017/05/09	7.60	7.70	7.54	7.69	4632523	35284440.00
2017/05/10	7.68	7.73	7.42	7.45	5858364	44463248.00
2017/05/11	7.41	7.42	7.01	7.25	14221953	102446104.00
2017/05/12	7.24	7.24	7.10	7.14	5164855	37012264.00
2017/05/15	7.14	7.22	7.14	7.16	2709221	19430682.00
2017/05/16	7.16	7.30	7.10	7.29	4422917	31804390.00
2017/05/17	7.26	7.38	7.26	7.35	4808132	35245936.00
2017/05/18	7.28	7.34	7.24	7.24	3722384	27124748.00
2017/05/19	7.28	7.32	7.23	7.29	4990749	36386828.00
2017/05/22	7.29	7.31	7.12	7.13	5105241	36822172.00
2017/05/23	7.11	7.16	6.85	6.87	7761281	54251048.00
2017/05/24	6.81	7.02	6.69	6.96	7788560	53520552.00
2017/05/25	7.03	7.17	7.00	7.16	9774457	69411872.00
2017/05/26	7.10	7.20	7.09	7.14	5299119	37897488.00
2017/05/31	7.20	7.26	7.15	7.20	4749329	34151184.00
2017/06/01	7.18	7.18	6.92	7.00	6832807	48107668.00
2017/06/02	6.96	7.11	6.86	7.08	3925460	27403248.00
2017/06/05	7.07	7.23	7.04	7.18	4723118	33885216.00
2017/06/06	7.21	7.25	7.15	7.25	3050858	21995260.00
2017/06/07	7.25	7.35	7.21	7.34	4459512	32562368.00
2017/06/08	7.34	7.35	7.23	7.27	4002430	29117452.00
2017/06/09	7.27	7.28	7.13	7.23	4773267	34281628.00
2017/06/12	7.16	7.20	7.05	7.09	3704501	26388244.00
2017/06/13	7.09	7.25	7.09	7.24	4800845	34428648.00
2017/06/14	7.22	7.31	7.19	7.26	5346073	38841272.00
2017/06/15	7.24	7.34	7.18	7.31	5567247	40575640.00
2017/06/16	7.29	7.35	7.24	7.27	4341409	31629242.00
2017/06/19	7.27	7.34	7.26	7.30	3413845	24927842.00
2017/06/20	7.30	7.55	7.30	7.44	10552975	78242640.00
2017/06/21	7.42	7.42	7.30	7.36	5852019	43029936.00
2017/06/22	7.35	7.35	7.10	7.18	6132721	44643792.00
2017/06/23	7.15	7.24	7.10	7.21	4678309	33562564.00
2017/06/26	7.22	7.33	7.19	7.33	5764767	41915080.00
2017/06/27	7.33	7.41	7.29	7.37	5090877	37393736.00
2017/06/28	7.35	7.36	7.28	7.29	4121801	30145606.00
2017/06/29	7.34	7.43	7.31	7.37	4992277	36818472.00
2017/06/30	7.31	7.41	7.31	7.40	4705030	34692868.00
2017/07/03	7.40	7.51	7.38	7.49	5565027	41497244.00
2017/07/04	7.51	7.54	7.43	7.44	4850799	36338124.00
2017/07/05	7.43	7.53	7.41	7.51	5274257	39415664.00
2017/07/06	7.52	7.70	7.50	7.61	9631150	73167664.00
2017/07/07	7.60	7.75	7.53	7.74	8000078	61117500.00
2017/07/10	7.72	7.83	7.66	7.71	8853127	68509960.00
2017/07/11	7.70	7.73	7.54	7.58	6652445	50747672.00
2017/07/12	7.59	7.60	7.32	7.52	7832225	58372384.00
2017/07/13	7.48	7.64	7.45	7.61	6379303	48224216.00
2017/07/14	7.62	7.63	7.50	7.56	3963483	30001736.00
2017/07/17	7.55	7.55	7.00	7.12	8639047	62690368.00
2017/07/18	7.13	7.30	7.12	7.29	6071208	43673864.00
2017/07/19	7.31	8.02	7.31	8.02	26148356	202185376.00
2017/07/20	8.03	8.44	8.03	8.16	43484463	357523456.00
2017/07/21	8.05	8.15	7.94	8.07	22027525	176735104.00
2017/07/24	8.08	8.29	7.99	8.21	21901403	178584160.00
2017/07/25	8.15	8.22	7.93	7.97	16075516	129274112.00
2017/07/26	8.03	8.45	8.03	8.33	30446253	251860320.00
2017/07/27	8.24	8.54	8.19	8.25	25254484	210256960.00
2017/07/28	8.24	8.34	8.13	8.33	16291657	134258896.00
2017/07/31	8.10	8.44	7.95	8.43	26318181	215697328.00
2017/08/01	8.40	8.47	8.19	8.27	17749326	147383712.00
2017/08/02	8.26	8.69	8.13	8.52	37185222	315535872.00
2017/08/03	8.40	8.82	8.36	8.74	30504067	263309584.00
2017/08/04	8.69	8.90	8.50	8.52	23241485	202479312.00
2017/08/07	8.51	8.62	8.35	8.61	13541179	115074128.00
2017/08/08	8.59	8.60	8.36	8.42	13405589	113654536.00
2017/08/09	8.42	8.48	8.22	8.37	16361788	135993168.00
2017/08/10	8.33	8.37	8.20	8.30	11065273	91557968.00
2017/08/11	8.23	8.30	8.00	8.00	11736302	95296504.00
2017/08/14	8.02	8.09	7.95	8.08	7968931	64027864.00
2017/08/15	8.06	8.21	8.04	8.19	9408951	76460984.00
2017/08/16	8.16	8.17	7.96	8.04	10021870	80704432.00
2017/08/17	8.01	8.09	7.97	8.07	9361747	75298368.00
2017/08/18	7.99	8.06	7.97	8.02	7693620	61669820.00
2017/08/21	8.07	8.14	8.02	8.13	7316902	59253896.00
2017/08/22	8.13	8.15	8.01	8.04	5008586	40381980.00
2017/08/23	8.05	8.06	7.86	7.87	8045196	63796096.00
2017/08/24	7.85	7.95	7.83	7.88	3744501	29583596.00
2017/08/25	7.88	8.03	7.88	8.02	5174606	41260180.00
2017/08/28	8.00	8.11	8.00	8.04	6025444	48568012.00
2017/08/29	8.04	8.07	8.00	8.02	4248001	34096812.00
2017/08/30	8.04	8.16	8.00	8.11	8083065	65346848.00
2017/08/31	8.06	8.11	7.98	8.08	7045055	56633008.00
2017/09/01	8.10	8.23	8.06	8.16	9575659	78011384.00
2017/09/04	8.16	8.26	8.11	8.15	7330201	59984480.00
2017/09/05	8.17	8.20	8.00	8.02	7866949	63464400.00
2017/09/06	8.02	8.30	8.00	8.29	12364026	101288704.00
2017/09/07	8.29	8.31	8.10	8.11	9945200	81500480.00
2017/09/08	8.11	8.30	8.11	8.29	11632800	95679424.00
2017/09/13	8.60	9.12	8.54	8.78	51551403	453668288.00
2017/09/14	8.67	8.77	8.45	8.52	29645675	254788192.00
2017/09/15	8.45	8.66	8.00	8.50	22183507	186472512.00
2017/09/18	8.45	8.50	8.32	8.36	13358832	111985072.00
2017/09/19	8.32	8.44	8.25	8.28	10104956	84184512.00
2017/09/20	8.30	8.97	8.26	8.73	28778913	250103584.00
2017/09/21	8.63	8.83	8.53	8.58	18915101	163854128.00
2017/09/22	8.58	8.64	8.39	8.58	10227006	87243808.00
2017/09/25	8.56	8.75	8.51	8.59	11802296	101950472.00
2017/09/26	8.62	9.06	8.59	8.92	26598725	236263824.00
2017/09/27	8.85	9.24	8.75	9.01	28943630	260545792.00
2017/09/28	8.91	9.02	8.80	8.82	15981157	142199840.00
2017/09/29	8.85	9.00	8.78	8.83	14453381	128538840.00
2017/10/09	8.95	9.00	8.66	8.91	16055094	141483936.00
2017/10/10	8.85	8.87	8.66	8.72	12716600	111478256.00
2017/10/11	8.71	8.82	8.65	8.73	11456908	99886376.00
2017/10/12	8.74	8.77	8.46	8.57	11415937	97997288.00
2017/10/13	8.59	8.75	8.51	8.66	7625408	65900596.00
2017/10/16	8.65	8.73	8.44	8.48	8501700	72935136.00
2017/10/17	8.50	8.58	8.40	8.42	5549327	47151304.00
2017/10/18	8.42	8.53	8.33	8.40	6263677	52862352.00
2017/10/19	8.26	8.40	8.17	8.18	6959185	57451652.00
2017/10/20	8.13	8.29	8.12	8.26	4658091	38302616.00
