600097 开创国际 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	19.24	19.51	19.15	19.49	4833693	93580048.00
2017/03/28	19.47	19.68	19.34	19.38	3514100	68443472.00
2017/03/29	19.34	19.38	19.07	19.09	4026001	77396464.00
2017/03/30	19.07	19.42	18.98	19.17	6612000	126693096.00
2017/03/31	19.19	19.32	18.44	18.60	6623565	124764296.00
2017/04/05	18.45	18.76	18.30	18.71	4270979	79286536.00
2017/04/06	18.71	19.15	18.55	18.99	5304068	100719304.00
2017/04/07	18.87	19.11	18.54	18.71	4856435	91628280.00
2017/04/10	18.65	18.70	18.10	18.16	5809242	106154544.00
2017/04/11	18.01	18.15	17.29	17.66	8492909	149532096.00
2017/04/12	17.66	17.76	17.34	17.44	4080491	71436512.00
2017/04/13	17.38	18.45	17.09	17.74	8299441	147710064.00
2017/04/14	17.54	18.10	17.40	17.64	6166981	109997192.00
2017/04/24	17.70	18.24	17.23	18.07	8712558	156108560.00
2017/04/25	17.78	18.30	17.55	18.25	6684023	119735928.00
2017/04/26	18.14	18.40	18.00	18.24	3743821	68227040.00
2017/04/27	18.40	18.50	18.02	18.46	4171541	76214000.00
2017/04/28	18.33	18.56	18.31	18.48	2810783	51806532.00
2017/05/02	18.50	18.50	18.03	18.04	2766847	50435360.00
2017/05/03	17.88	18.38	17.88	18.27	2923300	53172112.00
2017/05/04	18.00	18.55	17.93	18.37	2942306	53858088.00
2017/05/05	18.38	18.66	18.20	18.38	2509200	46309992.00
2017/05/08	19.30	19.98	18.80	19.03	10351052	201253056.00
2017/05/09	19.09	19.34	18.50	18.78	5443722	101932712.00
2017/05/10	18.81	18.91	17.50	17.58	5968810	109690296.00
2017/05/11	17.45	17.45	16.56	17.07	5187797	87946528.00
2017/05/12	17.00	17.25	16.67	17.16	3623239	61515368.00
2017/05/15	17.08	17.41	17.02	17.19	2268052	39082532.00
2017/05/16	17.51	17.52	17.03	17.47	2321008	40185480.00
2017/05/17	17.57	17.95	17.34	17.75	2758000	48887452.00
2017/05/18	17.57	17.72	17.46	17.60	1874367	32921440.00
2017/05/19	17.55	18.28	17.52	17.75	2709875	48608268.00
2017/05/22	17.67	17.75	16.95	16.97	2363000	40967992.00
2017/05/23	17.00	17.25	16.68	16.79	2154178	36451840.00
2017/05/24	16.68	17.08	16.52	17.06	1597796	26858134.00
2017/05/25	17.07	17.37	16.85	17.35	1643373	28167964.00
2017/05/26	17.30	17.67	17.22	17.61	1945005	34019728.00
2017/05/31	17.66	17.95	17.59	17.60	1748364	30910474.00
2017/06/01	17.67	17.73	17.40	17.43	1530749	26895128.00
2017/06/02	17.11	17.55	17.05	17.40	1182064	20397464.00
2017/06/05	17.50	17.60	17.41	17.45	763000	13362124.00
2017/06/06	17.40	17.57	17.40	17.50	789601	13832653.00
2017/06/07	18.48	18.48	18.00	18.11	4043153	73443424.00
2017/06/08	18.01	18.15	17.91	18.03	2037733	36666920.00
2017/06/09	17.95	18.47	17.90	18.17	3642243	66527368.00
2017/06/12	18.06	18.45	17.91	18.01	1613000	29274654.00
2017/06/13	18.00	18.14	17.83	18.04	1573466	28321632.00
