600100 同方股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	13.98	14.09	13.93	14.05	25672314	359914016.00
2017/03/28	14.06	14.13	13.98	13.99	18377197	258040944.00
2017/03/29	14.01	14.06	13.84	13.93	22835579	318676800.00
2017/03/30	13.88	13.92	13.63	13.71	30514502	419518848.00
2017/03/31	13.71	13.76	13.60	13.65	17966524	245850448.00
2017/04/05	14.07	14.18	13.93	14.12	55549102	781948480.00
2017/04/06	14.19	14.20	14.02	14.05	31012475	437277728.00
2017/04/07	14.09	15.40	14.03	15.04	156769480	2312784384.00
2017/04/10	15.09	15.56	14.91	15.21	147045660	2239579904.00
2017/04/11	15.12	15.26	14.83	15.19	96168838	1450558208.00
2017/04/12	15.02	15.06	14.58	14.64	77513084	1145496832.00
2017/04/13	14.60	14.95	14.56	14.74	42634804	630851456.00
2017/04/14	14.74	15.33	14.58	15.05	99796987	1503335040.00
2017/04/17	15.24	15.68	15.02	15.11	115516494	1772592256.00
2017/04/18	14.97	15.35	14.47	14.52	98692470	1464823808.00
2017/04/19	14.49	14.49	14.05	14.32	59964064	855070400.00
2017/04/20	14.28	14.38	13.90	14.12	56663308	799084032.00
2017/09/21	14.68	14.70	13.41	13.45	147260877	2061177984.00
2017/09/22	13.10	13.16	12.20	12.30	127743666	1607506816.00
2017/09/25	12.17	12.58	12.02	12.44	62667959	771288832.00
2017/09/26	12.32	12.39	12.14	12.20	36307060	444064640.00
2017/09/27	12.22	12.25	12.09	12.17	32389686	393900480.00
2017/09/28	12.16	12.42	12.07	12.19	40804300	500085376.00
2017/09/29	12.16	12.34	12.14	12.20	29350476	358370208.00
2017/10/09	12.31	12.49	12.22	12.38	38642021	478258816.00
2017/10/10	12.38	12.46	12.32	12.40	28208227	349670464.00
2017/10/11	12.40	12.40	12.14	12.19	39762380	487011520.00
2017/10/12	12.30	12.67	12.28	12.44	61806271	771689984.00
2017/10/13	12.35	12.48	12.32	12.41	24381237	302447648.00
2017/10/16	12.38	12.40	12.11	12.12	34730251	424773312.00
2017/10/17	12.10	12.16	12.04	12.08	18403481	222638880.00
2017/10/18	12.09	12.14	11.88	11.90	22365790	269681792.00
2017/10/19	11.69	11.78	11.23	11.28	51620912	589212224.00
